commit,device,shape_id,kind,batch,in_channels,out_channels,in_h,in_w,kernel,stride,padding,groups,use_bias,num_aie_columns,flops,bytes,arithmetic_intensity,warmup_iters,timed_iters,latency_mean_us,latency_median_us,latency_p99_us,gflops_median,bandwidth_gbps_median,cpu_latency_median_us,correctness
abc7224,NPU2_cols8,B1,pointwise,1,32,64,32,32,1,1,0,1,1,1,4194304,200832,2.088464e+01,5,20,15519.7728,15097.5100,18573.9940,2.778143e-01,1.330233e-02,61.1250,pass
abc7224,NPU2_cols8,B1,pointwise,1,32,64,32,32,1,1,0,1,0,1,4194304,200704,2.089796e+01,5,20,15272.5473,15213.2125,15766.2850,2.757014e-01,1.319274e-02,60.8840,pass
abc7224,NPU2_cols8,B1,pointwise,1,32,64,32,32,1,1,0,1,1,2,4194304,200832,2.088464e+01,5,20,7577.8703,7566.9745,7639.7360,5.542908e-01,2.654059e-02,76.0430,pass
abc7224,NPU2_cols8,B1,pointwise,1,32,64,32,32,1,1,0,1,1,4,4194304,200832,2.088464e+01,5,20,3815.2566,3817.6330,3824.6160,1.098666e+00,5.260642e-02,60.3130,pass
abc7224,NPU2_cols8,B2,standard_k3,1,16,16,32,32,3,1,1,1,1,1,4718592,70176,6.723940e+01,5,20,14553.4308,14489.9000,15170.8990,3.256470e-01,4.843098e-03,49.8540,pass
abc7224,NPU2_cols8,B2,standard_k3,1,16,16,32,32,3,1,1,1,1,2,4718592,70176,6.723940e+01,5,20,7360.5682,7358.8845,7739.3030,6.412102e-01,9.536228e-03,44.3030,pass
abc7224,NPU2_cols8,B3,strided,1,16,16,64,64,3,2,1,1,1,1,4718592,168480,2.800684e+01,5,20,14783.1295,14773.9230,14894.6100,3.193865e-01,1.140388e-02,61.7860,pass
abc7224,NPU2_cols8,B4,depthwise,1,32,32,32,32,3,1,1,32,1,1,589824,131712,4.478134e+00,5,20,23993.8906,23948.5195,24280.6030,2.462883e-02,5.499797e-03,48.5210,pass
abc7224,NPU2_cols8,B4,depthwise,1,32,32,32,32,3,1,1,32,1,2,589824,131712,4.478134e+00,5,20,12043.2373,12035.8955,12125.9740,4.900541e-02,1.094327e-02,54.5330,pass
abc7224,NPU2_cols8,B5,fat_pointwise,1,32,64,64,64,1,1,0,1,1,1,16777216,790656,2.121936e+01,5,20,59750.8822,59694.7615,60595.1770,2.810501e-01,1.324498e-02,130.7560,pass
abc7224,NPU2_cols8,B5,fat_pointwise,1,32,64,64,64,1,1,0,1,1,2,16777216,790656,2.121936e+01,5,20,30378.9115,30002.0290,33265.7930,5.592027e-01,2.635342e-02,106.0390,pass
abc7224,NPU2_cols8,B5,fat_pointwise,1,32,64,64,64,1,1,0,1,1,4,16777216,790656,2.121936e+01,5,20,15187.8878,15168.8190,15637.9740,1.106033e+00,5.212377e-02,117.9020,pass
abc7224,NPU2_cols8,B6,grouped,1,4,8,32,32,3,1,1,2,1,1,294912,24880,1.185338e+01,5,20,6772.1349,6765.9665,6807.7250,4.358756e-02,3.677228e-03,38.6920,pass
