commit,device,shape_id,kind,batch,in_channels,out_channels,in_h,in_w,kernel,stride,padding,groups,use_bias,num_aie_columns,flops,bytes,arithmetic_intensity,warmup_iters,timed_iters,latency_mean_us,latency_median_us,latency_p99_us,gflops_median,bandwidth_gbps_median,cpu_latency_median_us,correctness
e9dc777,NPU2_cols8,B1,pointwise,1,32,64,32,32,1,1,0,1,1,1,4194304,200832,2.088464e+01,5,20,15250.9313,15104.5940,18327.9320,2.776840e-01,1.329609e-02,60.4040,pass
e9dc777,NPU2_cols8,B1,pointwise,1,32,64,32,32,1,1,0,1,0,1,4194304,200704,2.089796e+01,5,20,15061.1226,15067.1480,15103.5220,2.783741e-01,1.332064e-02,78.0270,pass
e9dc777,NPU2_cols8,B1,pointwise,1,32,64,32,32,1,1,0,1,1,2,4194304,200832,2.088464e+01,5,20,7574.7460,7571.6880,7609.5290,5.539457e-01,2.652407e-02,70.1920,pass
e9dc777,NPU2_cols8,B1,pointwise,1,32,64,32,32,1,1,0,1,1,4,4194304,200832,2.088464e+01,5,20,3826.5244,3824.3015,3851.1970,1.096750e+00,5.251469e-02,66.5250,pass
e9dc777,NPU2_cols8,B2,standard_k3,1,16,16,32,32,3,1,1,1,1,1,4718592,70176,6.723940e+01,5,20,14509.5195,14445.6775,15031.1660,3.266439e-01,4.857924e-03,61.7560,pass
e9dc777,NPU2_cols8,B2,standard_k3,1,16,16,32,32,3,1,1,1,1,2,4718592,70176,6.723940e+01,5,20,7288.2629,7277.6770,7530.0400,6.483651e-01,9.642637e-03,64.4810,pass
e9dc777,NPU2_cols8,B3,strided,1,16,16,64,64,3,2,1,1,1,1,4718592,168480,2.800684e+01,5,20,14943.2765,14867.3735,15548.8680,3.173790e-01,1.133220e-02,58.6500,pass
e9dc777,NPU2_cols8,B4,depthwise,1,32,32,32,32,3,1,1,32,1,1,589824,131712,4.478134e+00,5,20,24064.7679,23966.2575,24608.6980,2.461060e-02,5.495727e-03,45.7060,pass
e9dc777,NPU2_cols8,B4,depthwise,1,32,32,32,32,3,1,1,32,1,2,589824,131712,4.478134e+00,5,20,12126.4781,12065.0250,12564.8670,4.888709e-02,1.091684e-02,52.3180,pass
e9dc777,NPU2_cols8,B5,fat_pointwise,1,32,64,64,64,1,1,0,1,1,1,16777216,790656,2.121936e+01,5,20,59726.5156,59715.1805,60178.4740,2.809540e-01,1.324045e-02,131.3560,pass
e9dc777,NPU2_cols8,B5,fat_pointwise,1,32,64,64,64,1,1,0,1,1,2,16777216,790656,2.121936e+01,5,20,30071.2281,30054.5525,30382.9840,5.582254e-01,2.630736e-02,118.6830,pass
e9dc777,NPU2_cols8,B5,fat_pointwise,1,32,64,64,64,1,1,0,1,1,4,16777216,790656,2.121936e+01,5,20,15108.5006,15062.3795,15457.0650,1.113849e+00,5.249210e-02,125.3450,pass
e9dc777,NPU2_cols8,B6,grouped,1,4,8,32,32,3,1,1,2,1,1,294912,24880,1.185338e+01,5,20,6922.3999,6907.4270,7328.2720,4.269491e-02,3.601920e-03,62.5870,pass
