commit,device,shape_id,kind,batch,in_channels,out_channels,in_h,in_w,kernel,stride,padding,groups,use_bias,num_aie_columns,flops,bytes,arithmetic_intensity,warmup_iters,timed_iters,latency_mean_us,latency_median_us,latency_p99_us,gflops_median,bandwidth_gbps_median,cpu_latency_median_us,correctness
7b36295,NPU2_cols8,B1,pointwise,1,32,64,32,32,1,1,0,1,1,1,4194304,200832,2.088464e+01,5,20,411.2944,413.9420,431.7300,1.013259e+01,4.851694e-01,71.2140,pass
7b36295,NPU2_cols8,B1,pointwise,1,32,64,32,32,1,1,0,1,0,1,4194304,200704,2.089796e+01,5,20,387.8252,389.3060,396.9650,1.077380e+01,5.155430e-01,66.9660,pass
7b36295,NPU2_cols8,B1,pointwise,1,32,64,32,32,1,1,0,1,1,2,4194304,200832,2.088464e+01,5,20,263.2195,264.8920,276.1280,1.583402e+01,7.581656e-01,59.7120,pass
7b36295,NPU2_cols8,B1,pointwise,1,32,64,32,32,1,1,0,1,1,4,4194304,200832,2.088464e+01,5,20,189.3372,190.9580,203.4420,2.196454e+01,1.051708e+00,69.3700,pass
7b36295,NPU2_cols8,B2,standard_k3,1,16,16,32,32,3,1,1,1,1,1,4718592,70176,6.723940e+01,5,20,86252.5779,86237.1250,86444.7590,5.471648e-02,8.137563e-04,38.5730,pass
7b36295,NPU2_cols8,B2,standard_k3,1,16,16,32,32,3,1,1,1,1,2,4718592,70176,6.723940e+01,5,20,43418.8435,43375.8075,43651.3550,1.087840e-01,1.617860e-03,50.9060,pass
7b36295,NPU2_cols8,B3,strided,1,16,16,64,64,3,2,1,1,1,1,4718592,168480,2.800684e+01,5,20,88238.3353,88186.6285,88846.3670,5.350689e-02,1.910494e-03,51.1760,pass
7b36295,NPU2_cols8,B4,depthwise,1,32,32,32,32,3,1,1,32,1,1,589824,131712,4.478134e+00,5,20,4311.4293,4303.7765,4444.7010,1.370480e-01,3.060382e-02,41.4670,pass
7b36295,NPU2_cols8,B4,depthwise,1,32,32,32,32,3,1,1,32,1,2,589824,131712,4.478134e+00,5,20,2203.4719,2204.3770,2213.0130,2.675695e-01,5.975022e-02,40.2260,pass
7b36295,NPU2_cols8,B5,fat_pointwise,1,32,64,64,64,1,1,0,1,1,1,16777216,790656,2.121936e+01,5,20,1490.1725,1365.7280,1958.9570,1.228445e+01,5.789264e-01,114.4150,pass
