Commit,Date,Test Path,Test,Checks,Latency (mean),Latency (median),Latency (min),Latency (max),Latency (stddev),Bandwidth (mean),Bandwidth (median),Bandwidth (min),Bandwidth (max),Bandwidth (stddev),Throughput (mean),Throughput (median),Throughput (min),Throughput (max),Throughput (stddev)
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_1024-num_aie_columns_1-tile_size_1024-scalar_factor_10.0,5/5,169.88,167.7,148.8,186.1,14.179809589694772,0.036382206,0.03663925,0.03302267,0.04129782,0.003162333605350644,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_1024-num_aie_columns_1-tile_size_1024-scalar_factor_3.0,5/5,176.42,170.4,132.2,247.0,43.056613893802655,0.036325842,0.03606607,0.02487943,0.04647117,0.007857457417076467,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_1024-num_aie_columns_2-tile_size_512-scalar_factor_10.0,5/5,182.26,195.2,144.1,221.8,33.988424500114746,0.03470559,0.03147525,0.02769913,0.04262404,0.006724218707020914,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_1024-num_aie_columns_2-tile_size_512-scalar_factor_3.0,5/5,163.52,161.3,126.7,188.3,25.517092310841377,0.038377852,0.03808886,0.0326222,0.04850743,0.006483180093169555,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_1024-num_aie_columns_4-tile_size_256-scalar_factor_10.0,5/5,220.57999999999998,202.4,178.0,300.7,47.91233661594892,0.028769178,0.03035483,0.02043348,0.0345153,0.005334289507302729,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_1024-num_aie_columns_4-tile_size_256-scalar_factor_3.0,5/5,171.0,174.0,142.2,196.5,21.235230161220294,0.036397784,0.03531603,0.03126638,0.04322195,0.004697464610258389,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_1024-num_aie_columns_8-tile_size_128-scalar_factor_10.0,5/5,178.17999999999998,174.7,142.1,218.2,34.00995442513853,0.035511232000000004,0.03516826,0.02816217,0.04325238,0.0067461908401608385,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_1024-num_aie_columns_8-tile_size_128-scalar_factor_3.0,5/5,166.42,163.6,130.4,198.2,25.094262292404608,0.03763506,0.03755937,0.03099305,0.04710284,0.006034799522167244,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_1-tile_size_2048-scalar_factor_10.0,5/5,160.48000000000002,173.8,127.7,186.4,25.9495086658688,0.078317678,0.07070562,0.06592452,0.09625342,0.013480524598264716,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_1-tile_size_2048-scalar_factor_3.0,5/5,150.9,154.7,116.6,188.9,30.03822564666562,0.084122112,0.07943372,0.06505029,0.1054112,0.01703245043707364,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_2-tile_size_1024-scalar_factor_10.0,5/5,181.7,177.4,124.6,237.2,45.80578566076561,0.07137326,0.0692836,0.05180395,0.09861404,0.018864004179257647,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_2-tile_size_1024-scalar_factor_3.0,5/5,178.62,179.8,145.3,210.1,23.043155165905553,0.069749272,0.06832626,0.05848365,0.08455414,0.009399987452229391,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_4-tile_size_512-scalar_factor_10.0,5/5,153.62,154.5,126.9,190.3,27.162602968051498,0.081995852,0.07951082,0.06456426,0.09686879,0.014278808703658368,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_4-tile_size_512-scalar_factor_3.0,5/5,182.94,168.2,140.6,250.0,45.14673853114974,0.070243356,0.07303418,0.04916065,0.08737388,0.01580439898085435,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_8-tile_size_256-scalar_factor_10.0,5/5,166.57999999999998,176.5,111.8,206.8,34.925091266881466,0.076972848,0.06961409,0.05941858,0.1099273,0.019421782103328473,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_8-tile_size_256-scalar_factor_3.0,5/5,204.88,166.4,161.1,283.7,58.18266064730969,0.063622374,0.07383861,0.04331473,0.07627229,0.016105317650381194,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_4096-num_aie_columns_1-tile_size_4096-scalar_factor_10.0,5/5,144.16,138.7,123.6,168.8,17.419328345260624,0.17243168,0.177247,0.1456002,0.1987787,0.020356431945382763,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_4096-num_aie_columns_1-tile_size_4096-scalar_factor_3.0,5/5,174.2,178.6,130.5,234.6,42.90168994340433,0.14800062,0.1376113,0.1047718,0.1882814,0.03564384727876608,,,,,
9938c0ada3c55be0659e29e2b334caf837e78359,2026-09-18 23:08:01,iron/operators/axpy/test.py::test_axpy,input_length_4096-num_aie_columns_2-tile_size_2048-scalar_factor_10.0,5/5,175.16,179.7,141.8,216.7,29.242400722238923,0.14343426,0.1367902,0.1134191,0.173328,0.023579988850145797,,,,,
