Commit,Date,Test Path,Test,Checks,Latency (mean),Latency (median),Latency (min),Latency (max),Latency (stddev),Bandwidth (mean),Bandwidth (median),Bandwidth (min),Bandwidth (max),Bandwidth (stddev),Throughput (mean),Throughput (median),Throughput (min),Throughput (max),Throughput (stddev)
3873943a88057a526f40bcad7dc9371b37696a12,2026-09-17 22:47:10,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_1-tile_size_2048-scalar_factor_3.0,5/5,158.34,157.5,143.6,171.0,12.495119047051935,0.07799101,0.078024,0.07184074,0.08556865,0.006177211092948822,,,,,
3873943a88057a526f40bcad7dc9371b37696a12,2026-09-17 22:47:10,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_2-tile_size_1024-scalar_factor_3.0,5/5,168.06,159.0,129.0,233.4,40.045449179650866,0.0761034,0.07730101,0.05265594,0.09523662,0.015927783650202244,,,,,
3873943a88057a526f40bcad7dc9371b37696a12,2026-09-17 22:47:10,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_4-tile_size_512-scalar_factor_3.0,5/5,182.26,173.7,162.8,216.5,20.647590658476354,0.068063212,0.07073004,0.05676747,0.07548839,0.007062837384427734,,,,,
3873943a88057a526f40bcad7dc9371b37696a12,2026-09-17 22:47:10,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_8-tile_size_256-scalar_factor_3.0,5/5,188.32,200.0,159.2,210.2,22.757240606013728,0.066044534,0.06142741,0.05845305,0.07716509,0.008364029658354281,,,,,
3873943a88057a526f40bcad7dc9371b37696a12,2026-09-17 22:47:10,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_1-num_channels_1-tile_size_2048-group_size_32,5/5,208.9,174.6,148.6,334.3,74.79050741905687,0.027264293999999998,0.03006192,0.01569631,0.03531557,0.007656220864142438,,,,,
3873943a88057a526f40bcad7dc9371b37696a12,2026-09-17 22:47:10,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_1-num_channels_2-tile_size_1024-group_size_32,5/5,158.8,148.1,132.1,224.3,37.28096028806126,0.034231804,0.03544461,0.02339859,0.0397362,0.006335480698090714,,,,,
3873943a88057a526f40bcad7dc9371b37696a12,2026-09-17 22:47:10,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_2-num_channels_1-tile_size_1024-group_size_32,5/5,176.04,165.2,137.3,221.6,34.5803846132457,0.030729638,0.03176852,0.02368423,0.03823373,0.005890194264985663,,,,,
3873943a88057a526f40bcad7dc9371b37696a12,2026-09-17 22:47:10,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_2-num_channels_2-tile_size_512-group_size_32,5/5,172.94,173.1,133.5,212.8,33.47003137136265,0.03129134,0.03031616,0.02465992,0.03929762,0.006172661219915603,,,,,
3873943a88057a526f40bcad7dc9371b37696a12,2026-09-17 22:47:10,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_4-num_channels_1-tile_size_512-group_size_32,5/5,183.78,181.7,155.7,215.2,21.159796785413608,0.028857094,0.02887864,0.02439002,0.03370433,0.003308131371413475,,,,,
3873943a88057a526f40bcad7dc9371b37696a12,2026-09-17 22:47:10,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_4-num_channels_2-tile_size_256-group_size_32,5/5,172.08,177.2,124.8,224.3,36.801046180781334,0.031669758,0.02961843,0.02340068,0.04205533,0.006964521906647291,,,,,
