Commit,Date,Test Path,Test,Checks,Latency (mean),Latency (median),Latency (min),Latency (max),Latency (stddev),Bandwidth (mean),Bandwidth (median),Bandwidth (min),Bandwidth (max),Bandwidth (stddev),Throughput (mean),Throughput (median),Throughput (min),Throughput (max),Throughput (stddev)
b091dbd67cde3034a2c666982d742a85c454a639,2026-09-09 01:02:17,iron/operators/axpy/test.py::test_axpy,input_length_1024-num_aie_columns_1-tile_size_1024-scalar_factor_10.0,5/5,337.24,271.1,230.2,485.0,125.99957539610996,0.020242888,0.02266164,0.01266697,0.02668844,0.006813254289755374,,,,,
b091dbd67cde3034a2c666982d742a85c454a639,2026-09-09 01:02:17,iron/operators/axpy/test.py::test_axpy,input_length_1024-num_aie_columns_1-tile_size_1024-scalar_factor_3.0,5/5,467.46,464.7,364.5,554.1,68.39519719980345,0.013389744,0.01322277,0.01108781,0.01685527,0.0021293576604178074,,,,,
b091dbd67cde3034a2c666982d742a85c454a639,2026-09-09 01:02:17,iron/operators/axpy/test.py::test_axpy,input_length_1024-num_aie_columns_2-tile_size_512-scalar_factor_10.0,5/5,279.94,250.9,208.1,439.6,91.23646748970502,0.023413002000000002,0.02449263,0.01397488,0.02952413,0.005718693326230215,,,,,
b091dbd67cde3034a2c666982d742a85c454a639,2026-09-09 01:02:17,iron/operators/axpy/test.py::test_axpy,input_length_1024-num_aie_columns_2-tile_size_512-scalar_factor_3.0,5/5,386.7,386.6,237.4,575.9,149.65091045496516,0.018051814,0.01589174,0.01066774,0.02588408,0.007134169461877114,,,,,
b091dbd67cde3034a2c666982d742a85c454a639,2026-09-09 01:02:17,iron/operators/axpy/test.py::test_axpy,input_length_1024-num_aie_columns_4-tile_size_256-scalar_factor_10.0,5/5,284.88,264.9,226.0,392.3,64.9975538001239,0.022358236,0.02319121,0.01565961,0.02718777,0.004392515971397258,,,,,
b091dbd67cde3034a2c666982d742a85c454a639,2026-09-09 01:02:17,iron/operators/axpy/test.py::test_axpy,input_length_1024-num_aie_columns_4-tile_size_256-scalar_factor_3.0,5/5,432.94,484.3,230.8,495.7,113.69456011612868,0.015497306,0.01268583,0.01239482,0.0266223,0.006228181077170927,,,,,
b091dbd67cde3034a2c666982d742a85c454a639,2026-09-09 01:02:17,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_1-tile_size_2048-scalar_factor_10.0,5/5,322.3,262.3,229.4,572.3,144.01755101375662,0.042760978,0.0468448,0.02147028,0.05355625,0.013288506003124277,,,,,
b091dbd67cde3034a2c666982d742a85c454a639,2026-09-09 01:02:17,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_1-tile_size_2048-scalar_factor_3.0,5/5,275.4,242.0,224.3,392.7,68.33593490982616,0.046439712,0.05077161,0.03128724,0.05479086,0.009265676515186033,,,,,
b091dbd67cde3034a2c666982d742a85c454a639,2026-09-09 01:02:17,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_2-tile_size_1024-scalar_factor_10.0,5/5,299.46,245.1,233.0,512.0,119.42995018001137,0.044800042,0.05013239,0.02399803,0.05273186,0.011869593774012234,,,,,
b091dbd67cde3034a2c666982d742a85c454a639,2026-09-09 01:02:17,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_2-tile_size_1024-scalar_factor_3.0,5/5,367.46000000000004,316.3,242.8,532.1,125.14281042073493,0.036558962,0.03884379,0.02309471,0.0506083,0.011634603203322836,,,,,
