Commit,Date,Test Path,Test,Checks,Latency (mean),Latency (median),Latency (min),Latency (max),Latency (stddev),Bandwidth (mean),Bandwidth (median),Bandwidth (min),Bandwidth (max),Bandwidth (stddev),Throughput (mean),Throughput (median),Throughput (min),Throughput (max),Throughput (stddev)
191b7bc5aa05c57a83253c491ab06ec369d96e8b,2026-09-17 20:22:28,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_1-tile_size_2048-scalar_factor_3.0,5/5,385.78000000000003,421.5,260.8,523.2,116.4451244148934,0.034501048,0.02915213,0.02348696,0.04711277,0.011079240815002623,,,,,
191b7bc5aa05c57a83253c491ab06ec369d96e8b,2026-09-17 20:22:28,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_2-tile_size_1024-scalar_factor_3.0,5/5,432.86,520.0,243.3,574.3,149.01682119814527,0.031918426,0.02362995,0.02139496,0.05051427,0.0129664658619583,,,,,
191b7bc5aa05c57a83253c491ab06ec369d96e8b,2026-09-17 20:22:28,iron/operators/axpy/test.py::test_axpy,input_length_2048-num_aie_columns_4-tile_size_512-scalar_factor_3.0,5/5,444.74,353.3,242.9,695.3,199.6804647430489,0.032420946,0.03478015,0.01767249,0.05058101,0.013755981179219098,,,,,
191b7bc5aa05c57a83253c491ab06ec369d96e8b,2026-09-17 20:22:28,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_1-num_channels_1-tile_size_2048-group_size_32,5/5,254.23999999999998,253.4,220.7,283.0,22.956545907431284,0.020781264,0.02071394,0.01854732,0.02377404,0.0019410033590465526,,,,,
191b7bc5aa05c57a83253c491ab06ec369d96e8b,2026-09-17 20:22:28,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_1-num_channels_2-tile_size_1024-group_size_32,5/5,283.7,264.5,247.4,385.9,57.73997748527444,0.01899984,0.01983843,0.01359917,0.02120875,0.0030904368655903644,,,,,
191b7bc5aa05c57a83253c491ab06ec369d96e8b,2026-09-17 20:22:28,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_2-num_channels_1-tile_size_1024-group_size_32,5/5,449.18,291.4,210.1,1041.2,339.08172613693,0.0157846254,0.01800905,0.005040537,0.02497918,0.007436515389452294,,,,,
191b7bc5aa05c57a83253c491ab06ec369d96e8b,2026-09-17 20:22:28,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_2-num_channels_2-tile_size_512-group_size_32,5/5,290.1,256.4,175.8,457.1,106.65570777037674,0.020000262,0.02047105,0.01148032,0.02985703,0.006829461914182551,,,,,
191b7bc5aa05c57a83253c491ab06ec369d96e8b,2026-09-17 20:22:28,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_4-num_channels_1-tile_size_512-group_size_32,5/5,346.82,270.5,242.1,529.4,125.28374595293677,0.0166043538,0.01940046,0.009913559,0.02168102,0.005152149797063086,,,,,
191b7bc5aa05c57a83253c491ab06ec369d96e8b,2026-09-17 20:22:28,iron/operators/dequant/test.py::test_dequant,input_length_2048-num_aie_columns_4-num_channels_2-tile_size_256-group_size_32,5/5,368.76,328.1,236.2,641.5,157.2958136760162,0.0158734124,0.01599624,0.008181132,0.02221799,0.005031555229314173,,,,,
191b7bc5aa05c57a83253c491ab06ec369d96e8b,2026-09-17 20:22:28,iron/operators/elementwise_add/test.py::test_elementwise_add,input_length_2048-num_aie_columns_1-tile_size_2048,5/5,408.88,443.6,269.0,599.1,139.31097228861768,0.033105196,0.02770094,0.0205095,0.04568777,0.0114429559335309,,,,,
191b7bc5aa05c57a83253c491ab06ec369d96e8b,2026-09-17 20:22:28,iron/operators/elementwise_add/test.py::test_elementwise_add,input_length_2048-num_aie_columns_2-tile_size_1024,5/5,449.79999999999995,460.8,228.1,561.4,132.67691962055795,0.03040308,0.0266651,0.02188829,0.05386662,0.013315047233335297,,,,,
191b7bc5aa05c57a83253c491ab06ec369d96e8b,2026-09-17 20:22:28,iron/operators/elementwise_add/test.py::test_elementwise_add,input_length_2048-num_aie_columns_4-tile_size_512,5/5,876.74,608.5,234.9,1872.2,632.6647556170645,0.022275627200000002,0.02019345,0.006563286,0.05230895,0.017847269864993333,,,,,
191b7bc5aa05c57a83253c491ab06ec369d96e8b,2026-09-17 20:22:28,iron/operators/elementwise_mul/test.py::test_elementwise_mul,input_length_2048-num_aie_columns_1-tile_size_2048,5/5,352.9,420.7,208.4,466.5,116.20032271900108,0.038651632,0.02920624,0.02634264,0.05896862,0.014677789410393854,,,,,
191b7bc5aa05c57a83253c491ab06ec369d96e8b,2026-09-17 20:22:28,iron/operators/elementwise_mul/test.py::test_elementwise_mul,input_length_2048-num_aie_columns_2-tile_size_1024,5/5,321.65999999999997,239.2,209.0,504.0,131.13762999231,0.043094144,0.05136694,0.02438298,0.05879341,0.015180694831338585,,,,,
191b7bc5aa05c57a83253c491ab06ec369d96e8b,2026-09-17 20:22:28,iron/operators/elementwise_mul/test.py::test_elementwise_mul,input_length_2048-num_aie_columns_4-tile_size_512,5/5,399.84,329.0,198.8,697.8,205.0608519440022,0.037675006,0.03734966,0.01761034,0.06182517,0.017897027865632607,,,,,
191b7bc5aa05c57a83253c491ab06ec369d96e8b,2026-09-17 20:22:28,iron/operators/flm/gemm/test.py::test_artifact_stem_differs_from_generic_gemm,M_256-K_512-N_1024,5/5,,,,,,,,,,,,,,,
